tax_id,psychrophilic
1891644,TRUE
194963,TRUE
1027360,TRUE
84979,TRUE
550,TRUE
2018669,TRUE
40414,TRUE
1121902,TRUE
1351,TRUE
1218093,TRUE
742766,TRUE
570835,TRUE
247,TRUE
53345,TRUE
57732,TRUE
2491114,TRUE
1298604,TRUE
110322,TRUE
84980,TRUE
651661,TRUE
1123320,TRUE
299766,TRUE
2024995,TRUE
71452,TRUE
1216966,TRUE
91359,TRUE
1453587,TRUE
636,TRUE
37734,TRUE
160453,TRUE
301102,TRUE
1354261,TRUE
172045,TRUE
304413,TRUE
888064,TRUE
317010,TRUE
106592,TRUE
1121871,TRUE
471854,TRUE
1158607,TRUE
380,TRUE
158892,TRUE
29394,TRUE
1355,TRUE
214095,TRUE
728005,TRUE
2480627,TRUE
2005703,TRUE
158836,TRUE
69219,TRUE
1353,TRUE
112904,TRUE
69218,TRUE
36856,TRUE
1121485,TRUE
299767,TRUE
41997,TRUE
61645,TRUE
110321,TRUE
546274,TRUE
1218091,TRUE
382,TRUE
716541,TRUE
69224,TRUE
1112,TRUE
88132,TRUE
562,TRUE
1648,TRUE
2584124,TRUE
38402,TRUE
206499,TRUE
69222,TRUE
1044,TRUE
225084,TRUE
225971,TRUE
92490,TRUE
255984,TRUE
196588,TRUE
1121872,TRUE
536056,TRUE
525280,TRUE
1121874,TRUE
198312,TRUE
291985,TRUE
35811,TRUE
1115511,TRUE
662541,TRUE
1958945,TRUE
39960,TRUE
481805,TRUE
1408438,TRUE
1041826,TRUE
87458,TRUE
2038737,TRUE
178214,TRUE
157463,TRUE
137730,TRUE
120956,TRUE
180441,TRUE
565,TRUE
1928857,TRUE
38282,TRUE
87650,TRUE
79879,TRUE
1002,TRUE
1926602,TRUE
96345,TRUE
225843,TRUE
2354,TRUE
182136,TRUE
1128970,TRUE
178355,TRUE
271156,TRUE
983,TRUE
229204,TRUE
640331,TRUE
245,TRUE
1121891,TRUE
239,TRUE
82347,TRUE
1819566,TRUE
2483811,TRUE
1852971,TRUE
1905680,TRUE
1859473,TRUE
217511,TRUE
82135,TRUE
2702,TRUE
229205,TRUE
1859475,TRUE
2676123,TRUE
69322,TRUE
29528,TRUE
2541731,TRUE
1218111,TRUE
1614,TRUE
1337839,TRUE
94137,TRUE
99286,TRUE
935223,TRUE
750,TRUE
178356,TRUE
2676122,TRUE
935224,TRUE
991,TRUE
996,TRUE
2023265,TRUE
70993,TRUE
1111730,TRUE
2024526,TRUE
271157,TRUE
1886782,TRUE
145483,TRUE
1852970,TRUE
986,TRUE
1389955,TRUE
585528,TRUE
49280,TRUE
1245754,TRUE
728004,TRUE
1379,TRUE
1121924,TRUE
66228,TRUE
84136,TRUE
2055,TRUE
2018084,TRUE
1027371,TRUE
84135,TRUE
291193,TRUE
937593,TRUE
29391,TRUE
2590999,TRUE
1305624,TRUE
1422,TRUE
168480,TRUE
36823,TRUE
52020,TRUE
1463159,TRUE
738,TRUE
1307940,TRUE
257438,TRUE
1229971,TRUE
169050,TRUE
2054,TRUE
1121923,TRUE
1167637,TRUE
38308,TRUE
442,TRUE
89584,TRUE
13076,TRUE
291190,TRUE
81950,TRUE
1121922,TRUE
1075090,TRUE
1796469,TRUE
1223543,TRUE
154117,TRUE
525245,TRUE
180194,TRUE
38307,TRUE
142834,TRUE
291192,TRUE
1089551,TRUE
36822,TRUE
59602,TRUE
1905676,TRUE
180197,TRUE
135517,TRUE
80883,TRUE
1223544,TRUE
112140,TRUE
291191,TRUE
1121927,TRUE
1121925,TRUE
84595,TRUE
546270,TRUE
84096,TRUE
161153,TRUE
83341,TRUE
1965328,TRUE
1223541,TRUE
348442,TRUE
1220595,TRUE
86665,TRUE
311194,TRUE
333374,TRUE
470774,TRUE
626369,TRUE
1227455,TRUE
77097,TRUE
1931228,TRUE
727,TRUE
673,TRUE
229007,TRUE
150024,TRUE
730,TRUE
137733,TRUE
46124,TRUE
279359,TRUE
178774,TRUE
1477018,TRUE
57705,TRUE
2246,TRUE
178340,TRUE
86177,TRUE
252,TRUE
1172368,TRUE
726,TRUE
1095744,TRUE
638301,TRUE
137732,TRUE
729,TRUE
195088,TRUE
52021,TRUE
1035188,TRUE
115551,TRUE
1121940,TRUE
272239,TRUE
42565,TRUE
735,TRUE
43776,TRUE
272240,TRUE
179637,TRUE
123834,TRUE
257772,TRUE
29571,TRUE
1121941,TRUE
1796497,TRUE
192814,TRUE
74661,TRUE
2746,TRUE
245385,TRUE
199441,TRUE
117606,TRUE
447421,TRUE
44935,TRUE
258591,TRUE
77098,TRUE
910996,TRUE
1890675,TRUE
213,TRUE
261291,TRUE
135577,TRUE
210,TRUE
29283,TRUE
102619,TRUE
863372,TRUE
53368,TRUE
64713,TRUE
212,TRUE
334424,TRUE
190892,TRUE
2247,TRUE
1867106,TRUE
262209,TRUE
32025,TRUE
38875,TRUE
63658,TRUE
731,TRUE
513160,TRUE
65656,TRUE
249410,TRUE
1524095,TRUE
29419,TRUE
616997,TRUE
72026,TRUE
217,TRUE
263723,TRUE
1121903,TRUE
180200,TRUE
2232097,TRUE
2248,TRUE
35743,TRUE
81030,TRUE
2025510,TRUE
1227486,TRUE
103817,TRUE
2025508,TRUE
36863,TRUE
373890,TRUE
1121947,TRUE
1433843,TRUE
1562124,TRUE
95149,TRUE
1484,TRUE
82805,TRUE
927,TRUE
235279,TRUE
29284,TRUE
119644,TRUE
157838,TRUE
1867101,TRUE
1122125,TRUE
249409,TRUE
37372,TRUE
89093,TRUE
2496266,TRUE
797114,TRUE
1850093,TRUE
46224,TRUE
53458,TRUE
297,TRUE
2044852,TRUE
213312,TRUE
263724,TRUE
80842,TRUE
214,TRUE
65786,TRUE
80876,TRUE
645990,TRUE
1776856,TRUE
256549,TRUE
1053688,TRUE
1216968,TRUE
639313,TRUE
759411,TRUE
281739,TRUE
1236770,TRUE
89967,TRUE
887062,TRUE
76936,TRUE
112009,TRUE
412687,TRUE
1121088,TRUE
543526,TRUE
552535,TRUE
180195,TRUE
86667,TRUE
1868794,TRUE
2021220,TRUE
573,TRUE
281473,TRUE
548,TRUE
188906,TRUE
1812261,TRUE
1868793,TRUE
84634,TRUE
84632,TRUE
221725,TRUE
2058152,TRUE
178899,TRUE
282197,TRUE
499547,TRUE
131568,TRUE
262806,TRUE
574,TRUE
571,TRUE
888741,TRUE
135826,TRUE
206506,TRUE
1028307,TRUE
37633,TRUE
110845,TRUE
1122131,TRUE
84633,TRUE
88074,TRUE
244366,TRUE
71999,TRUE
236068,TRUE
28448,TRUE
89059,TRUE
72407,TRUE
72000,TRUE
1579,TRUE
1053551,TRUE
66229,TRUE
1604,TRUE
1218801,TRUE
208223,TRUE
171523,TRUE
39831,TRUE
378753,TRUE
60450,TRUE
271881,TRUE
138300,TRUE
1580,TRUE
3378537,TRUE
182640,TRUE
1218113,TRUE
47770,TRUE
1385520,TRUE
1275,TRUE
157779,TRUE
184882,TRUE
236067,TRUE
57909,TRUE
1600,TRUE
73098,TRUE
1590,TRUE
1584,TRUE
390333,TRUE
291184,TRUE
1307938,TRUE
1849719,TRUE
1607,TRUE
1638993,TRUE
1463165,TRUE
381742,TRUE
83683,TRUE
337330,TRUE
1940525,TRUE
33995,TRUE
2529380,TRUE
1937692,TRUE
722689,TRUE
478801,TRUE
2024736,TRUE
1177180,TRUE
1582,TRUE
1423736,TRUE
1585,TRUE
1596,TRUE
116089,TRUE
151781,TRUE
29397,TRUE
147802,TRUE
109790,TRUE
1587,TRUE
83684,TRUE
1613,TRUE
1598,TRUE
1597,TRUE
1903258,TRUE
190905,TRUE
52242,TRUE
47715,TRUE
33959,TRUE
237446,TRUE
60520,TRUE
249265,TRUE
2559914,TRUE
1203033,TRUE
88164,TRUE
938155,TRUE
872327,TRUE
97478,TRUE
2107999,TRUE
888027,TRUE
1624,TRUE
2568007,TRUE
1622,TRUE
1484109,TRUE
69220,TRUE
380393,TRUE
168471,TRUE
1623,TRUE
55969,TRUE
267364,TRUE
1940789,TRUE
1423739,TRUE
60519,TRUE
33968,TRUE
61646,TRUE
1122176,TRUE
1255629,TRUE
110933,TRUE
103732,TRUE
1359,TRUE
1354266,TRUE
1835722,TRUE
2419773,TRUE
295065,TRUE
2528642,TRUE
1581,TRUE
33965,TRUE
57037,TRUE
2487722,TRUE
267363,TRUE
68170,TRUE
152331,TRUE
1481894,TRUE
2562452,TRUE
137357,TRUE
1293599,TRUE
198706,TRUE
191389,TRUE
147809,TRUE
333963,TRUE
164393,TRUE
1605,TRUE
1423716,TRUE
150026,TRUE
216463,TRUE
267633,TRUE
33962,TRUE
47671,TRUE
65499,TRUE
1983706,TRUE
1958811,TRUE
396716,TRUE
2487723,TRUE
1907578,TRUE
2202201,TRUE
175306,TRUE
307126,TRUE
40571,TRUE
431273,TRUE
1245,TRUE
1511761,TRUE
446820,TRUE
390841,TRUE
200379,TRUE
28038,TRUE
886872,TRUE
390842,TRUE
2202203,TRUE
1588,TRUE
1246,TRUE
1360,TRUE
278132,TRUE
148604,TRUE
417373,TRUE
1421,TRUE
1639,TRUE
33984,TRUE
198483,TRUE
1632,TRUE
28031,TRUE
85403,TRUE
131080,TRUE
227942,TRUE
1122183,TRUE
202752,TRUE
263067,TRUE
104955,TRUE
75985,TRUE
198484,TRUE
1641,TRUE
1645665,TRUE
1849019,TRUE
69968,TRUE
1638,TRUE
28169,TRUE
144022,TRUE
1643,TRUE
1643323,TRUE
74318,TRUE
399370,TRUE
2696285,TRUE
1642,TRUE
1220589,TRUE
1122191,TRUE
115542,TRUE
181675,TRUE
144023,TRUE
1859460,TRUE
1846261,TRUE
88874,TRUE
198482,TRUE
69967,TRUE
85401,TRUE
1633,TRUE
645597,TRUE
1610,TRUE
287097,TRUE
85404,TRUE
47493,TRUE
1296,TRUE
228957,TRUE
1640,TRUE
1930061,TRUE
144025,TRUE
195913,TRUE
1354027,TRUE
2304603,TRUE
129985,TRUE
69369,TRUE
1168289,TRUE
96941,TRUE
135739,TRUE
1122214,TRUE
1647648,TRUE
191770,TRUE
348609,TRUE
33885,TRUE
1485217,TRUE
1122237,TRUE
2765360,TRUE
48076,TRUE
1300310,TRUE
69365,TRUE
1931232,TRUE
643867,TRUE
1348634,TRUE
2739064,TRUE
1371,TRUE
1006,TRUE
1033846,TRUE
323761,TRUE
199596,TRUE
71433,TRUE
153731,TRUE
1111733,TRUE
1792834,TRUE
258723,TRUE
33918,TRUE
2037900,TRUE
69367,TRUE
33884,TRUE
209639,TRUE
64975,TRUE
1603353,TRUE
61656,TRUE
69974,TRUE
989,TRUE
374837,TRUE
1679163,TRUE
2014805,TRUE
313587,TRUE
162393,TRUE
82380,TRUE
262077,TRUE
295068,TRUE
266835,TRUE
262076,TRUE
29427,TRUE
1300302,TRUE
1300294,TRUE
39645,TRUE
1300283,TRUE
33917,TRUE
442526,TRUE
199592,TRUE
126843,TRUE
270350,TRUE
1458122,TRUE
119864,TRUE
1300272,TRUE
1524097,TRUE
1223527,TRUE
2725995,TRUE
270351,TRUE
1163748,TRUE
227605,TRUE
86796,TRUE
36805,TRUE
28104,TRUE
