ID,designation_header,strain_number_header,is_type_strain_header,species,pH
22899,MP5ACTX8,"DSM 23137, ATCC BAA-1857",1,"Granulicella mallensis",5
139,OB1010,"DSM 22464, LMG 25275",1,"Granulicella paludicola",4.2
137,TPB6011,"DSM 21001, VKM B-2509",1,"Granulicella pectinivorans",3.8-4.5
136,"T4, TPO-1014","DSM 18704, ATCC BAA-1396, TPO 1014",1,"Granulicella rosea",4.5
22900,S6CTX5A,"DSM 23136, LMG 26174",1,"Granulicella sapmiensis",4.5
158483,AF10,"DSM 104461, VKM B-3276",1,"Granulicella sibirica",4.5-5
22901,MP5ACTX9,"DSM 23138, ATCC BAA-1859",1,"Granulicella tundricola",5
5977,MH1-52-1,"DSM 22442, CECT 7534, JCM 16109",1,"Halarchaeum acidiphilum",4.4-4.5
132987,A1336,"DSM 100333, CCOS 902, CCUG 67421, KCTC 15694",1,"Prevotella colorans",5
1351,"HSL-3, SL-3","DSM 18897, CIP 108052, JCM 11546, KCCM 41590, CGMCC 1.3705, KCTC 3842",1,"Halobacillus salinus",4.5
11364,"P6-12, Strain P6-12","DSM 17154, CCUG 48869, CECT 5661, LMG 21710, UCCCB3, CIP 108242",1,"Herbaspirillum lusitanum",5.0
4188,EP5-r,"DSM 24586, OCM 986",1,"Hippea alviniae",4.75
4187,Mar08-272r,"DSM 24585, OCM 985",1,"Hippea jasoniae",3.5-5
,,,,,4.75
11923,JB-A1,"DSM 12350, ATCC 700877",1,"Hydrogenovibrio kuenenii",4
133120,16F3P,"KCTC 52194, JCM 31653",1,"Hymenobacter aquaticus",5
166087,WPCB131,"UCCCB13, IMSNU 14116, KCTC 12533, NBRC 101118",1,"Hymenobacter rigui",5.0
133364,16F7G,"KCTC 52197, JCM 31655",1,"Hymenobacter seoulensis",4
,,,,,5
133277,C-3,"JCM 17843, LMG 28660",1,"Iodidimonas muriae",4
158617,JSSK-16,"KACC 19436, KCTC 62137, NBRC 113018",1,"Jannaschia confluentis",4.5
,,,,,5
166538,M5W7-7,"KCTC 49195, CGMCC 1.13744",1,"Kocuria soli",5
159749,WE7,"CGMCC 1.15338, JCM 31140",1,"Komagataeibacter cocois",2.5
58,YO-3,"DSM 14400, IFO 16664, JCM 11301, NBRC 16664, NRIC 0488, CCUG 48823, CCM 7137, NCIMB 14242",1,"Kozakia baliensis",3
166299,,"DSM 29426, NRRL B-65062, YM 53",1,"Kribbella capetownensis",4.3
132535,,"DSM 23717, NRRL B-24813, PIP 158",1,"Kribbella pittospori",5
158437,EA-1,"DSM 106492, CCOS 1194",1,"Kyrpidia spormannii",<4.5
24140,7-19,"KCTC 21025, DSM 28401, CCUG 62990, LMG 27191, NCIMB 14832, JCM 30918, CIP 110708",1,"Lacticaseibacillus songhuajiangensis",4
24139,11050,"DSM 28402, CCUG 62991, LMG 27194, KCTC 21026, CIP 110706",1,"Lactiplantibacillus mudanjiangensis",4
141151,"WiKim29, WiKim39","KCTC 21077, JCM 31938",1,"Companilactobacillus allii",3.5-4.0
159711,BS-W1,"BCRC 80970, NBRC 112377",1,"Levilactobacillus bambusae",3
166234,54-5,"NCIMB 15151, CCM 8894",1,"Lapidilactobacillus bayanensis",5
133853,S1L19,"JCM 18524, CCTCC M 2011381",1,"Lentilactobacillus curieae",4
24135,"CHCC13979, ZN7a-9","DSM 26046, LMG 27067, JCM 30917, KCTC 21031",1,"Lactobacillus delbrueckii subsp. jakobsenii",4
166202,395-6.2,"CCM 8927, NCIMB 15188, LMG 31179",1,"Companilactobacillus huachuanensis",5
166523,ZW163,"NCIMB 15193, CCM 8926, CCTCC AB 2019015",1,"Lacticaseibacillus hulanensis",5
134061,11102,"LMG 27192, NCIMB 14833, JCM 30919, CIP 110707",1,"Paucilactobacillus nenjiangensis",4
166328,R7,"BCRC 81127, NBRC 113530",1,"Companilactobacillus suantsaicola",3
166329,R19,"BCRC 81129, NBRC 113532",1,"Levilactobacillus suantsaiihabitans",3
134042,516,"NBRC 109475, BCRC 80576, JCM 31966, LMG 29105",1,"Lactococcus formosensis",5
158748,159469,"LMG 30040, DSM 104842, CIP 111606",1,"Lactococcus petauri",3
133905,0905C15,"NBRC 109049, BCRC 80460, JCM 32014",1,"Lactococcus taiwanensis",5
158433,NtB2,"DSM 107259, JCM 32569",1,"Lactococcus termiticola",5
1212,MB800,"DSM 15595, LMG 17892, CIP 108417",1,"Lederbergia galactosidilytica",<5
158809,PFL01,"KCCM 43247, JCM 31901",1,"Lelliottia jeotgali",4
1362,PS11-2,"DSM 19123, CIP 109343, JCM 12149, PCU 240, TISTR 1549, NCIMB 14363",1,"Lentibacillus halophilus",5.0
1359,SF-20,"DSM 16425, CIP 107807, JCM 11462, KCCM 41560, ATCC BAA-719, CGMCC 1.3447, CGMCC 1.6154",1,"Lentibacillus salicampi",5.0
7391,S27,"DSM 20621, CCM 8762, JCM 32600",1,"Leucobacter weissii",5
6839,,"DSM 21478, CCUG 54536, LMG 23990, JCM 16942, NCIMB 14555",1,"Leuconostoc holzapfelii",3.9
