ID,designation_header,strain_number_header,is_type_strain_header,species,pH
166523,ZW163,"NCIMB 15193, CCM 8926, CCTCC AB 2019015",1,"Lacticaseibacillus hulanensis",11
132638,BSN307,"DSM 100577, KCTC 21083, MCC 2824",1,"Lactococcus formosensis subsp. bovis",9.6
158809,PFL01,"KCCM 43247, JCM 31901",1,"Lelliottia jeotgali",10
1362,PS11-2,"DSM 19123, CIP 109343, JCM 12149, PCU 240, TISTR 1549, NCIMB 14363",1,"Lentibacillus halophilus",9.0
132632,,"DSM 102030, CGMCC 4.7224, EGI 80537",1,"Lipingzhangella halophila",9.0-10.0
1282,"BA288, 18.101","DSM 16976, CIP 110635, KCTC 3947",1,"Litchfieldia alkalitelluris",9-9.5
133992,JC166,"KCTC 32217, LMG 27256",1,"Litoribacter ruber",9.5
158631,,"CCM 8709, CIP 111178, LMG 29765, MaA MAA42",1,"Litorimonas haliclonae",11
140463,T20R-70,"KACC 18656, NBRC 111881",1,"Lysobacter solanacearum",9
166412,ZY170218,"CGMCC 1.13620, KCTC 15731",1,"Mannheimia pernigra",9
6310,HG667,"DSM 18935, JCM 16543, MBIC 07497",1,"Marihabitans asiaticum",9
160214,GH1-19,"DSM 106292, KCTC 62376",1,"Marimonas lutisalis",10
166430,SW121,"CGMCC 1.16166, KCTC 62651",1,"Marinimicrobium alkaliphilum",9
493,HP15,"DSM 23420, CIP 110141, NCBI AY241552",1,"Marinobacter adhaerens",<10.5
492,,"DSM 22359, CECT 7499, SET Set74, SET 74",1,"Marinobacter oulmenensis",9.0
491,NKSG1,"DSM 21262",1,"Marinobacter santoriniensis",9.0
461,,"DSM 23545, KCTC 12756, LMG 23872, CCUG 54309, IMCC 1877",1,"Marinobacterium litorale",9
11277,v1c_Sn-red,"DSM 18438, LMG 24610, VKM 2416, VKM B-2416",1,"Marinospirillum celere",9.5
130632,,"DSM 100037, KCCM 42376, NBRC 102057, HTCC 2654, CIP 109640",1,"Maritimibacter alkaliphilus",10
166469,ZX-21,"MCCC 1K03431, KCTC 62160",1,"Zhongshania marina",9
141155,PTW21,"BCRC 81061, CICC 24113",1,"Massilia neuiana",9
158578,KBB12,"KCTC 32230, JCM 18740",1,"Melaminivora jejuensis",>10
1232,"D-1,5a","DSM 16534, CCM 7228, CIP 108925",1,"Metabacillus herbersteinensis",9.5
158342,AMET1,"DSM 28684, NBRC 110805, UNIQEM U982",1,"Methanonatronarchaeum thermophilum",9.5-9.7
17902,,"DSM 15732, NCCB 100209, UNIQEM U238, AMT 1",1,"Methylonatrum kenyense",10
11908,MPL,"DSM 24656, MCC 1002, VKM B-2684",1,"Methylophaga lonarensis",9.5
7206,20Z,"DSM 19304, NCIMB 14124, VKM B-2133",1,"Methylotuvimicrobium alcaliphilum",9
7207,AMO1,"DSM 19305, NCCB 97157, NCIMB 13566, VKM B-2464",1,"Methylotuvimicrobium kenyense",10
,,,,,9-10.5
133183,JF-6,"MTCC 11843, JCM 30060, KCTC 39828",1,"Microbacterium aureliae",11
,,,,,9
7436,YM11-607,"DSM 18904, CIP 109810, JCM 16546, MBIC 07778, NBRC 104188",1,"Microbacterium marinilacus",9
7435,YM10-847,"DSM 18905, CIP 109809, JCM 15577, MBIC 08264, MBIC 07778, DSM 18904",1,"Microbacterium sediminicola",9
140349,TSL3,"DSM 29785, NCAIM B.02604",1,"Micrococcoides hystricis",9.0-10.0
7748,"JL 178","DSM 20315, ATCC 27566, CCM 2693, CCUG 33027, NCTC 11037, JCM 11572, BCRC 12151, CGMCC 1.2300, CIP 81.70, IAM 13002, IFO 15355, KCTC 3517, LMG 14218, NBRC 15355, NCAIM B.02054, NCIMB 14422, VKM Ac-2240, VKM B-1815",1,"Micrococcus lylae",10
132342,S3Af-1,"DSM 100019, CGMCC 4.7306, JCM 31774",1,"Microlunatus endophyticus",10
23118,SH2-13,"DSM 45794, BCC 45601, NBRC 107934",1,"Micromonospora sediminicola",9
133993,JC165,"KCTC 32210, LMG 27255",1,"Mongoliicoccus alkaliphilus",9.5
133760,,"ACCC 05511, KCTC 19808, MIM 28",1,"Mongoliicoccus roseus",9
133707,,"ACCC 05421, KCTC 23224, MIM 18",1,"Mongoliitalea lutea",9
140568,PP-F2F-G47,"CCM 8711, CIP 111182, LMG 29767, DSM 103633",1,"Mucilaginibacter galii",10
,,,,,9
133144,PP-F2F-G21,"DSM 100995, CCM 8625, CIP 110921, LMG 29118",1,"Mucilaginibacter phyllosphaerae",10
,,,,,9
168508,N5BH11,"CGMCC 4.7524, KCTC 49196",1,"Nakamurella flava",11
24716,Z-1001,"DSM 24923, VKM B-2666",1,"Natranaerobaculum magadiense",9.5
17655,JW/NM-WN-LU,"DSM 18760, ATCC BAA-1443",1,"Natranaerobius trueperi",9.5
132586,"JW/NM-HA 15","DSM 23470",1,"Natrarchaeobaculum aegyptiacum",9-9.5
163851,,"JCM 30663, UNIQEM U932, AArc 1",1,"Natrarchaeobaculum sulfurireducens",9.5-10
24068,CG-1,"DSM 25473, CECT 7984, IBRC-M 10656, JCM 17958",1,"Natronococcus roseus",9.25
133563,CG-6,"CECT 7487, CGMCC 1.8981, JCM 15982",1,"Natronorubrum sediminis",9
140700,BSker1,"JCM 31341, UNIQUEM U1008, UNIQEM U1008",1,"Natronospira proteinivora",9.5
140782,BSker2,"JCM 31342, UNIQEM U1009",1,"Natronotalea proteinilytica",9.5-9.8
17656,JW/NM-WN-LH1,"DSM 18770, ATCC BAA-1444",1,"Natronovirga wadinatrunensis",9.9
1214,"IDA 1115, R-16315","DSM 15601, CIP 108807, LMG 21833, JCM 21706, IAM 15255",1,"Neobacillus bataviensis",9.5-10.0
1213,"IDA 1937, R-16337","DSM 15600, CIP 108808, LMG 21831, JCM 21707, IAM 15256, NBRC 102427",1,"Neobacillus drentensis",9.5-10.0
1216,"IDA 3307, R-15439","DSM 15603, CIP 108805, LMG 21837, JCM 21709, IAM 15258, NBRC 102450",1,"Neobacillus novalis",9.5-10.0
1217,"IDA 0086, R-16300, ISA0086","DSM 15604, CIP 108804, LMG 21838, JCM 21710, IAM 15259, KCTC 13572, NBRC 102451",1,"Neobacillus soli",9.0-9.5
7768,20,"DSM 17733, CCUG 48939, CIP 109276, JCM 14309",1,"Nesterenkonia aethiopica",9
7771,,"DSM 19423, CCTCC AB 207011, JCM 16549, CAAS 252, NBRC 107629",1,"Nesterenkonia alba",9.5
132446,CK5,"DSM 27373, JCM 19723, CIP 110620",1,"Nesterenkonia aurantiaca",9
7770,,"DSM 19422, CCTCC AB 207010, JCM 14814, CCUG 58060, CAAS 251, NBRC 107628",1,"Nesterenkonia flava",09-10
164194,M8,"JCM 32100, CGMCC 1.16706, MCC 3367",1,"Nesterenkonia natronophila",10
140783,BV-35,"NCAIM B 02606, DSM 29786",1,"Nesterenkonia pannonica",9-10
7773,Sua-BAC020,"DSM 22748, JCM 19557, NCCB 100309",1,"Nesterenkonia suensis",9
7765,,"DSM 15475, CCTCC AA 001025, YIM 70097, JCM 13021, KCTC 19016",1,"Nesterenkonia xinjiangensis",9.5
11872,,"DSM 19185, JCM 14851, KACC 11904, Ky 101, NBRC 106418",1,"Nitratireductor kimnyeongensis",9.1
17693,ANL-iso2,"DSM 45188, NBRC 105792, NCCB 100119, UNIQEM U239",1,"Nitriliruptor alkaliphilus",9.25
140898,MEB087,"KCTC 42948, JCM 19317",1,"Nitrincola alkalisediminis",9.5
11284,4CA,"DSM 16316, ATCC BAA-920",1,"Nitrincola lacisaponensis",9
164093,MEB193,"JCM 31570, MCC 2863, KCTC 52390",1,"Nitrincola tapanii",9
24722,LW7,"DSM 46695, CCUG 57665, JCM 15946, NCCB 100279",1,"Nitritalea halalkaliphila",10
10820,N2-11,"DSM 45078, JBRI 2006, KCTC 19223, JCM 14881, IFM 10868, NBRC 108251",1,"Nocardia speluncae",9.1
11113,KSL-2,"DSM 16314, KCTC 19038, JCM 13594, CIP 108882",1,"Nocardioides kribbensis",9
131849,"WS 2","DSM 44657, CCTCC AA 001031, JCM 12678, YIM 80379, NBRC 104163",1,"Nocardiopsis alkaliphila",9.5-10.0
