ID,designation_header,strain_number_header,is_type_strain_header,species,"Salt concentration"
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,"Acinetobacter guillouiae",10
,,,,,6
,,,,,8
8073,A23,"DSM 14960, CIP 107475",0,"Acinetobacter guillouiae",10
,,,,,6
,,,,,8
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
134500,,"CIP 70.14, ATCC 17913, LMG 1001, NCIMB 9116",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
134819,,"CIP 70.13, ATCC 17912, NCTC 8698, NCIMB 9115",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
135337,BM2685,"CIP 103939",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
135428,,"CIP 53.67",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
135441,,"CIP 53.71",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
137423,,"CIP 53.112",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
137495,,"CIP 64.4, ATCC 17907, NCTC 10306, CCUG 891",0,"Acinetobacter haemolyticus",10
,,,,,8
137522,,"CIP 70.27, ATCC 19194",0,"Acinetobacter haemolyticus",10
,,,,,8
138101,,"CIP 53.143",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
138560,,"CIP 53.116, ATCC 17977",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
138823,,"CIP 55.105",0,"Acinetobacter haemolyticus",10
,,,,,8
139050,,"CIP 70.26, ATCC 19002",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
139156,,"CIP 53.111",0,"Acinetobacter haemolyticus",10
,,,,,8
139170,,"CIP 53.115",0,"Acinetobacter haemolyticus",10
,,,,,6
,,,,,8
139603,,"CIP 53.82, ATCC 17976",0,"Acinetobacter indicus",10
,,,,,6
,,,,,8
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
8074,"5BO2, 5B02","DSM 14965, CIP 107467",0,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
134821,A3,"CIP 70.23, ATCC 17946",0,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
135772,,"CIP A171",0,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
137449,,"CIP 77.14",0,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
137950,,"CIP 102272",0,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
138558,,"CIP 70.16, ATCC 17923, LMG 1002, NCIMB 9018",0,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
138934,,"CIP 68.41, ATCC 9036, IAM 1517, LMG 983, NCDO 715, NCIMB 8154, JCM 20194, NBRC 102197",0,"Acinetobacter johnsonii",10
,,,,,6
,,,,,8
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,"Acinetobacter junii",10
,,,,,6
,,,,,8
8087,17AO4,"CCUG 50767, DSM 14968, CIP 107470, CCM 7198",0,"Acinetobacter junii",10
,,,,,6
,,,,,8
135965,,"CIP 51.35",0,"Acinetobacter junii",10
,,,,,6
,,,,,8
137127,,"CIP 70.25, ATCC 19001",0,"Acinetobacter junii",10
,,,,,6
,,,,,8
137401,,"CIP 55.115",0,"Acinetobacter junii",10
,,,,,6
,,,,,8
139457,,"CIP 51.14",0,"Acinetobacter junii",10
,,,,,6
,,,,,8
140631,,"CCUG 68785, NRRL B-41902",1,"Acinetobacter lactucae",5
134901,705-86,"CIP 102725",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
135761,2,"CIP 55.102",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
135764,,"CIP 55.113",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
137338,,"CIP 70.20, ATCC 17985, NCDC KC 764",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
137455,,"CIP 55.112",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
137771,,"CIP 101718",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
138338,11.976,"CIP 54.98",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
138411,,"CIP 100598",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
139049,,"CIP 70.36, ATCC 17987, NCTC 5867",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
139604,,"CIP 102136",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
139605,,"CIP 64.7, ATCC 17910, NCTC 10309",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
139606,,"CIP 70.31, ATCC 9957, CCUG 61662, LMG 985, CNCTC Mi 3/65",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
139612,,"CIP 101966",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
173156,,"CIP 70.17, ATCC 17925, LMG 1004, NCIMB 9020",0,"Acinetobacter lwoffii",10
,,,,,6
,,,,,8
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,"Acinetobacter parvus",10
,,,,,6
,,,,,8
134448,2288,"CIP 102129",0,"Acinetobacter parvus",10
,,,,,6
,,,,,8
139613,,"CIP 102529",0,"Acinetobacter parvus",10
,,,,,6
,,,,,8
173376,,"CIP 102159",0,"Acinetobacter parvus",10
,,,,,6
,,,,,8
173377,,"CIP 102637",0,"Acinetobacter parvus",10
,,,,,6
,,,,,8
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,"Acinetobacter pittii",10
,,,,,6
,,,,,8
141511,,"CCUG 2490, CIP 70.15, ATCC 17922, NCIMB 9017",0,"Acinetobacter pittii",10
,,,,,6
,,,,,8
173486,,"CIP 52.90",0,"Acinetobacter pittii",10
,,,,,6
,,,,,8
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,"Acinetobacter radioresistens",10
,,,,,6
,,,,,8
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,"Acinetobacter schindleri",10
,,,,,6
,,,,,8
139607,,"CIP 101934",0,"Acinetobacter schindleri",10
,,,,,6
,,,,,8
8068,"BD 413 ivl-10","DSM 587, ATCC 33308, CIP 104004",0,"Acinetobacter sp.",10
,,,,,6
,,,,,8
139608,,"CIP 56.2",0,"Acinetobacter sp.",10
,,,,,6
,,,,,8
141333,,"CCUG 996, CIP 70.18, NCDC KC727, ATCC 17988, LMG 1031",0,"Acinetobacter higginsii",10
,,,,,6
,,,,,8
144769,,"CCUG 26492, ATCC 13704, ATCC 17979, CIP A165",0,"Acinetobacter sp.",10
,,,,,6
,,,,,8
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,"Acinetobacter tandoii",10
,,,,,6
,,,,,8
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,"Acinetobacter tjernbergiae",10
,,,,,6
,,,,,8
8129,"7BO2, 7B02","DSM 14966, CIP 107466",0,"Acinetobacter tjernbergiae",10
,,,,,6
,,,,,8
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,"Acinetobacter towneri",10
,,,,,6
,,,,,8
8124,"2NO1, 2N01","DSM 14969, CIP 107471",0,"Acinetobacter towneri",10
,,,,,6
,,,,,8
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,"Acinetobacter ursingii",10
,,,,,6
,,,,,8
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,"Actinoallomurus spadix",10
,,,,,6
,,,,,8
13195,,"DSM 45655, CGMCC 4.5714, NBRC 106685, NEAU 119, JCM 18314",1,"Actinoalloteichus nanshanensis",5
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",10
,,,,,6
,,,,,8
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,"Actinocatenispora rupis",7.1
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,"Actinocorallia longicatena",10
,,,,,6
,,,,,8
13206,"YU 961-1","DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,"Actinokineospora auranticolor",10
,,,,,6
,,,,,8
13205,"YU 924-101","DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,"Actinokineospora enzanensis",10
,,,,,6
,,,,,8
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,"Actinokineospora globicatena",5
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,"Actinokineospora inagensis",10
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,"Actinomadura atramentaria",10
,,,,,6
,,,,,8
16988,3.24,"DSM 44772, AS 4.1522, IFO 16341, NBRC 16341, JCM 10667, CGMCC 4.1522, CIP 107903",1,"Actinomadura livida",10
,,,,,6
,,,,,8
16997,3-45-a(11),"DSM 45346, JCM 13932, MTCC 8056",1,"Actinomadura chokoriensis",7
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,"Actinomadura formosensis",10
,,,,,6
,,,,,8
16987,80-60,"DSM 44770, AS 4.1202, CIP 107902, DSM 43891, IFO 14668, JCM 6161, NBRC 14668, VKM Ac-1273, CGMCC 4.1202",1,"Actinomadura luteofluorescens",10
,,,,,6
,,,,,8
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,"Actinomadura keratinilytica",<7
16930,,"DSM 43677, ATCC 33578, INA 1678, JCM 3387, CPCC 203281, IFO 14682, IMET 9575, IMSNU 20008, IMSNU 22191, MTCC 1382, NBRC 14682, VKM Ac-908",1,"Actinomadura livida",5
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,"Actinomadura luteofluorescens",10
,,,,,5
,,,,,6
,,,,,8
16932,"FD 25934, A-0287","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,"Actinomadura macra",10
,,,,,6
,,,,,8
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,"Actinomadura madurae",10
,,,,,6
,,,,,8
16985,A290,"DSM 44485, NRRL B-24203, JCM 13236, CIP 108420",1,"Actinomadura mexicana",10
,,,,,6
,,,,,8
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,"Actinomadura montaniterrae",5
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,"Actinomadura namibiensis",10
,,,,,6
,,,,,8
