reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction
Ort-RDM-1_3,EER35026,0.311,323,220,0,9,329,5,327,4.775E-27,106,2.73,0.8435,0.47068125009536743,44.0,31.0,0.7045454545454546
Ort-RDM-1_3,KIW91465,0.322,305,205,0,10,314,3,305,6.448E-27,106,2.1,0.88196,0.5322514176368713,48.0,29.0,0.6041666666666666
Ort-RDM-1_3,CCA40817,0.306,329,212,0,7,313,3,331,6.448E-27,106,2.44,0.82226,0.5050588846206665,48.0,32.0,0.6666666666666666
Ort-RDM-1_3,KGT70745,0.309,292,200,0,1,292,1,291,8.706E-27,106,2.61,0.85903,0.3419612646102905,46.0,29.0,0.6304347826086957
Ort-RDM-1_3,EDK41009,0.318,322,219,0,8,329,3,324,1.586E-26,105,2.36,0.86146,0.4164470136165619,44.0,30.0,0.6818181818181818
Ort-RDM-1_3,ODV69400,0.338,311,202,0,9,314,4,314,1.586E-26,105,2.18,0.85341,0.5315211415290833,45.0,34.0,0.7555555555555555
Ort-RDM-1_3,EER35045,0.300,335,229,0,6,333,2,336,1.586E-26,105,2.73,0.85092,0.427997887134552,43.0,29.0,0.6744186046511628
Ort-RDM-1_3,KRZ99698,0.303,311,213,0,8,314,2,312,2.141E-26,104,2.35,0.84891,0.45013749599456787,45.0,31.0,0.6888888888888889
Ort-RDM-1_3,EMG50243,0.318,307,205,0,8,314,3,304,2.890E-26,104,2.06,0.88224,0.6824437975883484,45.0,36.0,0.8
Ort-RDM-1_3,OIW25712,0.293,325,229,0,10,334,19,343,2.890E-26,104,2.37,0.82255,0.3242444694042206,51.0,24.0,0.47058823529411764
Ort-RDM-1_3,EGW35041,0.324,298,199,0,8,305,4,299,5.261E-26,103,2.78,0.78983,0.2746434211730957,46.0,28.0,0.6086956521739131
Ort-RDM-1_3,EGW32291,0.309,327,225,0,8,334,5,330,5.261E-26,103,2.73,0.84601,0.4556274712085724,45.0,33.0,0.7333333333333333
Ort-RDM-1_3,EMG50733,0.295,318,216,0,8,314,4,321,5.261E-26,103,2.53,0.86043,0.5044511556625366,44.0,31.0,0.7045454545454546
Ort-RDM-1_3,EGW31012,0.293,326,229,0,8,333,4,328,7.098E-26,103,2.54,0.85843,0.5128605365753174,47.0,32.0,0.6808510638297872
Ort-RDM-1_3,EEQ40618,0.323,279,188,0,9,287,4,281,7.098E-26,103,2.31,0.84577,0.4688466787338257,46.0,34.0,0.7391304347826086
Ort-RDM-1_3,EDK39163,0.299,322,224,0,8,329,2,321,2.349E-25,101,2.52,0.86256,0.3431919813156128,45.0,29.0,0.6444444444444445
Ort-RDM-1_3,EGW33294,0.307,323,222,0,8,329,4,326,3.168E-25,101,2.55,0.85834,0.34715965390205383,46.0,31.0,0.6739130434782609
Ort-RDM-1_3,CCE41438,0.308,301,205,0,10,310,7,303,5.759E-25,100,2.48,0.85435,0.44566357135772705,46.0,30.0,0.6521739130434783
Ort-RDM-1_3,CCG24478,0.294,310,215,0,10,314,5,314,7.763E-25,100,2.5,0.8416,0.432827353477478,45.0,28.0,0.6222222222222222
